ID	Result	NatureCode
2017-000319	10	311
2017-000320	10	311
2017-000321	1	324
2017-000322	1113	111
2017-000323	1	622
2017-000324	11	321
2017-000325	10	311
2017-000326	1	744
2017-000327	1	743
2017-000328	1	611
2017-000329	1	552
2017-000330	10	300
2017-000331	1	730
2017-000332	1	531
2017-000333	1	324
2017-000334	11	321
2017-000335	10	311
2017-000336	1	510
2017-000337	10	311
2017-000338	11	321
2017-000339	10	311
2017-000340	11	321
2017-000341	1	324
2017-000342	11	321
2017-000343	1	324
2017-000344	1	324
2017-000345	11	321
2017-000346	1	324
2017-000347	10	300
2017-000348	10	311
2017-000349	11	321
2017-000350	1	324
2017-000351	1	611
2017-000352	1	622
2017-000353	10	300
2017-000354	11	321
2017-000355	1	715
2017-000356	1	324
2017-000357	10	311
2017-000358	11	321
2017-000359	1	324
2017-000360	10	300
2017-000361	1	324
2017-000362	11	321
2017-000363	11	321
2017-000364	1	740
2017-000365	1	154
2017-000366	1	324
2017-000367	11	321
2017-000368	10	300
2017-000369	1010	321
2017-000370	1113	111
2017-000371	11	321
2017-000372	10	311
2017-000373	10	311
2017-000374	11	321
2017-000375	10	311
2017-000376	11	321
2017-000377	1	611
2017-000378	10	311
2017-000379	1	730
2017-000380	10	311
2017-000381	10	311
2017-000382	1	743
2017-000383	1	531
2017-000384	1113	111
2017-000385	11	321
2017-000386	11	321
2017-000387	1	735
2017-000388	1	611
2017-000389	10	300
2017-000390	1	324
2017-000391	10	311
2017-000392	1	322
2017-000393	11	321
2017-000394	1010	321
2017-000395	1	600
2017-000396	1	700
2017-000397	10	311
2017-000398	1	733
2017-000399	1	531
2017-000400	11	321
2017-000401	1	324
2017-000402	1	500
2017-000403	1	324
2017-000404	10	311
2017-000405	1	154
2017-000406	1	733
2017-000407	1	324
2017-000408	1	611
2017-000409	11	321
2017-000410	11	321
2017-000411	11	321
2017-000412	1	715
2017-000413	1	324
2017-000414	1	324
2017-000415	10	311
2017-000416	1	324
2017-000417	10	311
2017-000418	1	700
2017-000419	1	324
2017-000420	11	321
2017-000421	1	324
2017-000422	1	324
2017-000423	11	321
2017-000424	10	311
2017-000425	1	353
2017-000426	1	733
2017-000427	10	311
2017-000428	1	411
2017-000429	10	311
2004	0	321
2017-000431	11	321
2017-000432	10	300
2017-000433	1	611
2017-000434	11	321
2017-000435	11	321
2017-000436	11	321
2017-000437	11	321
2017-000438	11	321
2017-000439	1	721
2017-000440	1	700
2017-000441	1	733
2017-000442	10	311
2017-000443	10	311
2017-000444	11	321
2017-000445	10	311
2017-000446	1	511
2017-000447	11	321
2017-000448	11	321
2017-000449	11	321
2017-000450	1	730
2017-000451	11	321
2017-000452	11	321
2017-000453	1	322
2017-000454	1	611
2017-000455	11	321
2017-000456	10	311
2017-000457	11	321
2017-000458	10	311
2017-000459	1	621
2017-000460	1	324
2017-000461	10	311
2017-000462	10	311
2017-000463	1	611
2017-000464	1	324
2017-000465	1	500
2017-000466	1	611
2017-000467	1	611
2017-000468	11	321
2017-000469	1	611
2017-000470	1	324
2017-000471	1	522
2017-000472	11	321
2017-000473	1	600
2017-000474	1	324
2017-000475	1	324
2017-000476	11	321
2017-000477	11	321
2017-000478	11	321
2017-000479	1	735
2017-000480	1	324
2017-000481	1	322
2017-000482	1	324
2017-000483	1	552
2017-000484	11	321
2017-000485	11	321
2017-000486	1	440
2017-000487	1	700
2017-000488	10	311
2017-000489	10	311
2017-000490	11	321
2017-000491	1	412
2017-000492	11	321
2017-000493	10	311
2017-000494	1	324
2017-000495	10	311
2017-000496	11	321
2017-000497	1	324
2017-000498	11	321
2017-000499	11	321
2017-000500	1	700
2017-000501	1	730
2017-000502	11	321
2017-000503	11	321
2017-000504	1	551
2017-000505	11	321
2017-000506	1	324
2017-000507	10	300
2017-000508	1	611
2017-000509	1	611
2017-000510	1	611
2017-000511	10	300
2017-000512	1	324
2017-000513	1	611
2017-000514	1000	600
2017-000515	1	611
2017-000516	1	322
2017-000517	1	510
2017-000518	11	321
2017-000519	11	321
2017-000520	11	321
2017-000521	1	745
2017-000522	1	324
2017-000523	10	311
2017-000524	1	531
2017-000525	11	321
2017-000526	10	311
2017-000527	11	321
2017-000528	11	321
2017-000529	11	321
2017-000530	11	321
2017-000531	10	300
2017-000532	1	324
2017-000533	1	331
2017-000534	11	321
2017-000535	1	322
2017-000536	1	324
2017-000537	10	311
2017-000538	10	311
2017-000539	1	745
2017-000540	1	324
2017-000541	11	321
2017-000542	10	311
2017-000543	10	311
2017-000544	10	311
2017-000545	1	324
2017-000546	1000	510
2017-000547	1	324
2017-000548	1	611
2017-000549	1	611
2017-000550	11	321
2017-000551	1	746
2017-000552	1	611
2017-000553	1	745
2017-000554	11	321
2017-000555	11	321
2017-000556	11	321
2017-000557	11	321
2017-000558	1	611
2017-000559	11	321
2017-000560	1	412
2017-000561	1	461
2017-000562	1	744
2017-000563	11	321
2017-000564	11	321
2017-000565	11	321
2017-000566	11	321
2017-000567	11	321
2017-000568	11	321
2017-000569	11	321
2017-000570	11	321
2017-000571	11	321
2017-000572	10	300
2017-000573	1	733
2017-000574	1	600
2017-000575	1	251
2017-000576	10	311
2017-000577	1	324
2017-000578	11	321
2017-000579	1	324
2017-000580	10	311
2017-000581	11	321
2017-000582	11	321
2017-000583	1	324
2017-000584	1	553
2017-000585	1	324
2017-000586	11	321
2017-000587	11	321
2017-000588	11	321
2017-000589	1	531
2017-000590	1	500
2017-000591	1	324
2017-000592	1	743
2017-000593	11	321
2017-000594	10	311
2017-000595	1	322
2017-000596	11	321
2017-000597	11	321
2017-000598	10	311
2017-000599	10	311
2017-000600	1	550
2017-000601	1	745
2017-000602	11	321
2017-000603	1	324
2017-000604	11	321
2017-000605	11	321
2017-000606	1	324
2017-000607	10	300
2017-000608	1	600
2017-000609	1113	111
2017-000610	1000	324
2017-000611	1	324
2017-000612	1	611
2017-000613	1	746
2017-000614	1	324
2017-000615	1	600
2017-000616	1	324
2017-000617	1	324
2017-000618	1	911
2017-000619	11	321
2017-000620	1	700
2017-000621	10	311
2017-000622	10	311
2017-000623	10	311
2017-000624	1	444
2017-000625	11	321
2017-000626	11	321
2017-000627	11	321
2017-000628	11	321
2017-000629	1	413
2017-000630	11	321
2017-000631	1	131
2017-000632	1	324
2017-000633	11	321
2017-000634	1	611
2017-000635	1	324
2017-000636	11	321
2017-000637	1	735
2017-000638	1	743
2017-000639	10	300
2017-000640	1	511
2017-000641	10	311
2017-000642	1	324
2017-000643	11	321
2017-000644	1	324
2017-000645	1	324
2017-000646	11	321
2017-000647	11	321
2017-000648	1	413
2017-000649	11	321
2017-000650	1	621
2017-000651	11	321
2017-000652	11	321
2017-000653	11	321
2017-000654	1	324
2017-000655	11	321
2017-000656	10	311
2017-000657	10	311
2017-000658	1	324
2017-000659	1	324
2017-000660	11	321
2017-000661	1	561
2017-000662	1	611
2017-000663	1	743
2017-000664	1	740
2017-000665	11	321
2017-000666	1	531
2017-000667	1	324
2017-000668	10	311
2017-000669	1010	321
2017-000670	1	611
2017-000671	11	321
2017-000672	1	611
