NatureCode,Result,
321,11
744,1
321,11
324,1
611,1
743,1
743,1
552,1
321,11
321,11
600,1
445,1
622,1
311,10
511,1
324,1
321,11
321,11
734,1
311,10
321,11
311,10
554,1
321,11
311,10
321,11
600,1
321,11
311,10
743,1
321,11
745,1
611,1
744,1
324,1
740,1
300,10
311,10
321,11
736,1
321,11
911,1
321,11
323,1
600,1
321,11
324,1
311,10
735,1
321,11
611,1
321,11
324,1
735,1
611,1
311,10
321,11
324,1
321,11
311,10
321,11
150,1
321,11
324,1
321,11
321,11
736,1
745,1
321,11
324,1
321,11
324,1
150,1
611,1
611,1
321,11
611,1
622,1
611,1
321,11
151,1
321,11
321,11
311,10
321,11
311,10
710,1
324,1
321,11
322,1
321,11
324,1
321,11
311,10
321,11
321,11
740,1
324,1
321,11
611,1
321,11
321,11
324,1
622,1
321,11
531,1
321,11
700,1
321,11
311,10
324,1
321,11
311,10
311,10
142,1
321,11
745,1
300,10
131,1
321,11
321,11
321,11
324,1
671,1
311,10
321,11
600,1
321,11
321,11
321,11
324,1
324,1
661,1
321,11
324,1
611,1
321,11
622,1
321,11
321,11
321,11
300,10
531,1
611,1
311,10
321,11
300,10
111,1113
311,10
321,11
321,11
324,1
321,11
311,10
311,10
311,10
321,11
321,11
511,1
300,10
321,11
554,1
324,1
651,1
311,10
740,1
510,1
324,1
321,11
321,11
321,11
611,1
321,11
321,11
311,10
600,1
600,1
321,11
324,1
321,11
600,1
131,1
622,1
324,1
412,1
151,1
321,11
611,1
321,11
321,11
321,11
324,1
324,1
251,1
324,1
300,10
300,10
300,10
321,11
611,1
300,10
321,11
321,11
611,1
321,11
600,1
321,11
321,11
622,1
311,10
300,10
311,10
746,1
311,10
321,11
321,11
321,11
300,10
746,1
321,11
324,1
321,11
500,1
611,1
311,10
311,10
671,1
321,11
324,1
611,1
311,10
324,1
321,11
321,11
321,11
324,1
321,11
671,1
311,10
324,1
324,1
324,1
600,1
324,1
324,1
321,11
600,1
324,1
321,11
611,1
321,11
311,10
324,1
251,1
745,1
324,1
600,1
321,11
611,1
300,10
600,1
324,1
311,10
311,10
710,1
311,10
555,1
324,1
251,1
324,1
440,1
321,11
311,10
700,1
321,11
321,11
531,1
321,11
321,11
324,1
321,11
321,11
321,11
324,1
324,1
321,11
321,11
321,11
321,1010
321,11
321,11
321,11
324,1
321,11
321,11
311,10
321,11
321,11
321,11
440,1
321,11
740,1
300,10
321,11
552,1
321,11
911,1
311,10
321,11
321,11
321,11
321,11
321,11
311,10
221,1
552,1
730,1
321,11
311,10
311,10
324,1
111,1113
622,1
321,11
311,10
744,1
743,1
611,1
552,1
300,10
730,1
531,1
324,1
321,11
311,10
510,1
311,10
321,11
311,10
321,11
324,1
321,11
324,1
324,1
321,11
324,1
300,10
311,10
321,11
324,1
611,1
622,1
300,10
321,11
715,1
324,1
311,10
321,11
324,1
300,10
324,1
321,11
321,11
740,1
154,1
324,1
321,11
300,10
321,1010
111,1113
321,11
311,10
311,10
321,11
311,10
321,11
611,1
311,10
730,1
311,10
311,10
743,1
531,1
111,1113
321,11
321,11
735,1
611,1
300,10
324,1
311,10
322,1
321,11
321,1010
600,1
700,1
311,10
733,1
531,1
321,11
324,1
500,1
324,1
311,10
154,1
733,1
324,1
